code,cb_sum,cb_propcorrect,csvtm_sum,cvstm_propcorrect,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14,question15,question16,question17,question18,group_all,mean_rl_all,mean_e1_all,mean_d1_all,mean_d_all,pre1,pre2,pre3,pre4,post,strategies,vp_sum,vp_propcorrect
101,30,0.833333333,77,0.641666667,1,3,2,3,1,1,1,2,3,2,1,2,1,1,2,2,1,2,control,4.95,2.65,4.890543,37.68265,3.8,3.6,4.4,4,4.2,2,30,0.833333333
102,25,0.694444444,96,0.8,2,3,3,4,4,3,3,4,3,4,4,3,2,2,3,2,3,4,control,6.75,2.25,4.859154,43.88951,5.6,3.7,2.7,4,2.8,1,24,0.666666667
103,32,0.888888889,106,0.883333333,2,4,3,2,3,1,1,1,1,1,3,1,1,1,3,0,2,1,above,4.85,4.2,10.1589085,41.01698,6.2,5.6,4.5,6.2,4.9,1,32,0.888888889
104,30,0.833333333,91,0.758333333,3,4,4,4,3,3,2,4,0,4,4,3,3,3,4,2,3,4,control,4.05,3.8,14.8526355,58.164395,6.6,3.9,4.5,5.2,4.3,1,34,0.944444444
105,27,0.75,108,0.9,1,3,3,3,1,1,3,3,1,1,1,1,1,1,3,1,1,1,above,3.2,4.4,8.321969,38.652915,6.6,5.1,7,4,3.6,2,32,0.888888889
106,21,0.583333333,76,0.633333333,3,4,3,4,4,3,4,3,3,3,4,3,2,3,4,1,3,3,above,5.95,2.3,3.4380335,39.875565,4.8,6,5.2,5.9,6,2,28,0.777777778
107,29,0.805555556,103,0.858333333,2,4,3,4,2,2,2,1,3,3,3,2,2,3,3,2,2,3,below,4.35,3.85,5.4693425,33.219755,6.6,5.2,2.4,3.2,0.7,3,33,0.916666667
108,28,0.777777778,81,0.675,3,3,3,4,2,1,3,3,1,3,1,3,1,3,4,1,2,3,above,4.6,3.8,7.7744925,48.887235,4.1,5.4,5.1,5.5,5.5,2,32,0.888888889
109,27,0.75,86,0.716666667,3,3,3,3,2,3,3,3,3,3,3,3,2,1,3,2,2,3,above,7.75,2.3,5.139191,42.77611,7,7.1,6.9,8.1,8.5,2,27,0.75
110,29,0.805555556,87,0.725,4,3,4,3,4,4,4,4,3,4,4,4,1,2,4,3,3,4,control,4.6,3.2,4.5210985,33.127245,5.8,5.4,4.3,3.6,3.8,1,30,0.833333333
111,30,0.833333333,93,0.775,1,3,4,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,below,7.9,1.7,2.03699035,36.475225,0.6,0.8,0.7,0.7,0.9,2,33,0.916666667
112,21,0.583333333,81,0.675,3,4,3,3,3,3,3,2,1,3,3,3,1,2,3,2,3,3,control,6.95,1.65,2.9040635,46.1688,4.9,2.6,2.1,3.1,6.4,2,28,0.777777778
113,29,0.805555556,73,0.608333333,2,4,2,2,4,3,3,1,2,3,2,3,3,3,3,2,3,3,control,6.55,2.4,1.90338495,28.74859,6.3,6,5,3.7,8,2,25,0.694444444
114,33,0.916666667,100,0.833333333,1,3,3,1,1,1,1,3,2,1,3,1,1,3,3,1,1,1,below,2.7,5.05,16.483798,51.892135,5.3,4,4,5,5,3,34,0.944444444
115,34,0.944444444,103,0.858333333,3,4,2,3,2,2,3,3,3,3,3,3,1,1,3,1,2,3,below,4.75,3.35,4.2399405,36.22375,5.4,2.7,3.7,4.2,2,2,35,0.972222222
116,26,0.722222222,105,0.875,2,3,2,3,3,3,4,4,2,3,3,2,1,1,3,1,2,3,control,5.65,2.8,6.2114465,45.057615,4.7,4.4,5.2,5.1,5.8,3,36,1
117,27,0.75,82,0.683333333,3,3,4,3,3,3,3,3,1,3,3,1,1,3,3,2,3,3,below,7.05,2.4,4.663895,37.35039,4.9,4.5,2.4,2.1,3,2,24,0.666666667
118,27,0.75,81,0.675,3,4,3,3,3,2,3,4,2,3,4,3,3,1,4,1,3,4,control,4.8,3.95,6.5403275,39.106415,6,3,3.5,4.8,6,1,30,0.833333333
119,24,0.666666667,82,0.683333333,2,4,3,4,4,1,3,4,3,4,4,3,1,0,4,1,3,4,above,4.9,3,5.21077,40.82666,5.8,3.8,5.2,6,5.3,1,31,0.861111111
120,27,0.75,79,0.658333333,2,3,3,3,2,3,2,2,1,3,3,3,1,2,2,1,2,3,above,6.35,2.4,2.9969658,39.629715,4.7,5.1,5,4.8,5.6,2,28,0.777777778
121,28,0.777777778,74,0.616666667,2,4,3,3,3,3,4,3,1,3,3,4,3,1,4,1,2,3,above,4.95,3.45,15.6956665,77.57177,5.4,5.9,6.7,4.7,4.6,1,28,0.777777778
122,25,0.694444444,79,0.658333333,2,3,4,4,2,3,3,4,3,3,4,3,3,4,4,4,3,4,below,6,3.7,15.599477,65.927505,5.2,4,3.9,4.4,5.2,2,32,0.888888889
123,23,0.638888889,78,0.65,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,below,5.55,3.35,8.539218,42.584935,2,0.5,0.4,5,4.3,2,25,0.694444444
124,26,0.722222222,82,0.683333333,2,4,4,3,3,3,3,4,2,3,3,3,0,2,4,1,3,3,control,7,2.15,2.713542,34.1605,3.2,4.4,0.7,6.8,5.9,2,29,0.805555556
125,30,0.833333333,88,0.733333333,1,2,2,0,2,2,3,0,3,4,2,2,0,4,3,0,2,4,below,5.15,3.55,5.418237,38.44862,3.6,1.9,1.5,3.7,2.2,2,35,0.972222222
126,21,0.583333333,75,0.625,3,4,4,1,3,3,4,4,1,4,3,4,3,3,4,2,3,4,below,5.8,3.55,9.8949285,47.676405,4.7,4.4,5.6,5,3,2,28,0.777777778
127,25,0.694444444,84,0.7,2,3,2,1,2,2,3,2,3,1,2,2,3,1,3,1,2,1,above,5.9,2.9,4.697852,41.68368,4.8,5.4,7,7.5,7.3,1,25,0.694444444
128,33,0.916666667,93,0.775,2,2,3,3,3,3,2,3,1,1,1,1,4,1,4,2,2,1,below,5.3,3.4,6.0631235,45.971035,5,3.4,2.1,1.7,0.5,2,33,0.916666667
129,29,0.805555556,99,0.825,2,4,3,4,4,1,3,4,2,4,4,4,3,3,4,2,3,4,above,4.55,2.9,4.7381645,33.552065,4.7,5.5,4.6,4.9,4.8,2,34,0.944444444
130,28,0.777777778,77,0.641666667,2,4,3,3,2,3,2,3,3,2,3,3,3,2,3,1,2,4,above,5.55,2.75,7.456447,42.09061,5.2,4.9,4.9,5.3,6.7,1,27,0.75
131,28,0.777777778,95,0.791666667,3,3,4,3,3,4,3,3,1,4,4,3,2,3,4,2,3,4,below,5.75,2.9,5.3212055,48.208465,3.7,0.9,1.7,1.4,0.6,2,34,0.944444444
